"Date_début";"Date_fin";"Produit";"Prix_au_produit";"Type";"Catégorie_produit";"Présence_de_porc";"Présence_d_alcool";"Composants";"Allergènes";"Allergènes_susceptibles_de_provenir_de_contaminations_croisées";"Kcal_pour_100_ml_ou_100g";"Recette_végétarienne";"Recette_végane";"BIO";"Sans_gluten";"Poids_cl_g";"Protéines_100g_100ml_";"Glucides_100g_100ml_";"Lipides_100g_100ml_"
2024-10-10;2025-03-05;"Plat du moment";10,5;"Chaud";"Salé";"NON";"NON";"Recette du moment";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Chocolat chaud BIO moyen, Monbana";3,8;"Boissons Gourmandes";"Boissons";"NON";"NON";NA;NA;NA;NA;"OUI";"NON";"OUI";"OUI";NA;NA;NA;NA
2024-03-07;2024-06-26;"Eau minérale naturelle plate, Eau Neuve (50cl)";3,1;"Boissons fraîches";"Boissons";"NON";"NON";"Eau 100%";NA;NA;0;"OUI";"OUI";"NON";"OUI";50;0;0;0
2024-03-07;2024-06-26;"Bière Gallia Champ Libre, blonde non filtrée 33cl";6,9;"Bières";"Boissons";"NON";"OUI";"Eau, malt d'orange, malt de seigle, houblon, levure";"Gluten, sulfites";"Gluten, Sulfites";47;"OUI";"OUI";"NON";"NON";33;0;3,3;0
2024-10-10;2025-03-05;"Syrah – Grenache rouge, Vin de France, Les Niçois";6,6;"Vin";"Boissons";"NON";"OUI";"Vin rouge 100% Syrah – Grenache";"Sulfites";NA;NA;"OUI";"OUI";"NON";"NON";25;NA;NA;NA
2024-03-07;2024-06-26;"Thé vert menthe, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Thé vert, arôme naturel de menthe";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-03-07;2024-06-26;"Infusion rooibos citron et vanille, Dammann Frères";3,4;"Thé, café & chocolat";"Boissons";"NON";"NON";"Rooibos, arôme naturel de vanille, huile essentielle de citron bio";NA;"Arachide, fruits à coque";0;"OUI";"OUI";"OUI";"OUI";NA;0;0;0
2024-10-10;2025-03-05;"Club jambon, emmental, fromage à tartiner, ciboulette";6,9;"Sandwichs";"Salé";"OUI";"NON";"Pain de mie 41,18% (farine de blé, eau, huile de colza, farine d'orge maltée torréfiée, gluten de blé, farine de blé malté, levures, sel, extrait d'acérola), jambon cuit supérieur 24,71% (jambon de porc, sel, dextrose, poudre de légumes déshydratés), emmental 20%, fromage 8,75%, fromage blanc 0% de matières grasses 5,11%, sel, fleur de sel, épaississant : gomme xanthane, poivre";"Gluten, lait";"Céleri, crustacés, fruits à coque, mollusques, moutarde, œuf, poisson, sésame, soja";254;"NON";"NON";"NON";"NON";170;13;18;14
2024-10-10;2025-03-05;"Sandwich poulet mayonnaise, tomates mi-séchées";6,9;"Sandwichs";"Salé";"NON";"NON";"Farine de blé 31,1%, eau 22,1%, emincée de filet de poulet traité en salaison rôti 13,3% [France], huile de colza 11,6%, tomate semi-déshydratée 10,7%, farine de seigle 3,6%, graines de lin 1,8%, Tomate cerise mi-séchée marinée 1,3%, jaune d'œuf 1,1%, sel fin 0,8%, levure de panification 0,7%, améliorant de farine 0,5%, vinaigre d'alcool 0,5%, moutarde de dijon 0,4%, améliorant 0,3%, herbes aromatiques 0,3%";"Oeuf, gluten, moutarde, soja";"Céleri, sésame, poisson, fruits à coque, mollusque, crustacé, lait";298;"NON";"NON";"NON";"NON";225;8,6;29;16
2024-03-07;2024-06-26;"Mini saucissons secs, Auvernou";3,8;"Encas salés";"Salé";"OUI";"NON";"Viande de porc 94,01% [épaule, maigre, bardière (orignie France)], lactose 2,80%, sel nitrité 1,80%, sel, dextrose, sucre, poivre noir, poivre blanc, ail, macis, ferments, clou de girofle, nitrate de potassium";"Lait";"Fruit à croque";496;"NON";"NON";"NON";"NON";75;29;2,6;2,5
2024-10-10;2025-03-05;"Noix de cajou aux herbes de Provence, Les Niçois";3,9;"Encas salés";"Salé";"NON";"NON";"Noix de cajou 93,7%, herbes de provence 3,1%, sel de mer 2%";"Fruits à coque";NA;614;"NON";"NON";"NON";"NON";30;21;25;48
2024-03-07;2024-06-26;"Yaourt vanille, Beillevaire";3,4;"Desserts";"Sucré";"NON";"NON";"Lait entier 84%, lait écrémé, sucre de canne 8%, lait écrémé en poudre 7%, extrait pur de vanille 0,74%, grains de vanille, ferments lactiques";"Lait";"lait";89;"OUI";"NON";"NON";"OUI";125;3,2;12;3,1
2024-10-10;2025-03-05;"Crème gourmande du moment Beillevaire";4,9;"Desserts";"Sucré";"NON";"NON";"Recette du moment";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Double espresso, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 14,5 g de café 100% Arabica";NA;NA;2;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Cappuccino grand, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"2 Capsules de 15g de lait (lait entier, sirop de glucose, sucre), capsule de 14,5 g de café 100% Arabica, chocolat (chocolat en poudre 59.4% (sucre, cacao 32% minimum), lait écrémé en poudre 38.5%, lactose, antiagglomérant (E551), sel, arôme)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Latte Macchiato grand, illy";4,9;"Boissons Gourmandes";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica, 2 Capsules de 15g de lait (lait entier, sirop de glucose, sucre)";"Lactose";"Arachides, amandes, noix, soja, oeufs, poissons, crustaces, sésame, céréales, sulfites, lupin, céleri, moutarde";NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-06-27;2024-10-09;"Carignan - Grenache - Syrah rosé, Vin de France, Rosé Garcia (25cl)";6,6;"Vins";"Boissons";"NON";"OUI";NA;NA;NA;NA;"OUI";"OUI";"NON";"NON";25;NA;NA;NA
2024-03-07;2024-06-26;"Café noisette, illy";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"Dosette de café 6 g de caféine mélange 100% Arabica, coupelle 10gr de lait entier de vache";NA;NA;NA;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-03-07;2024-06-26;"Café americano, illy";2,9;"Thé, café & chocolat";"Boissons";"NON";"NON";"Capsule de 6,5 g de café moulu illy, mélange 100% Arabica";NA;NA;4;"NON";"NON";"NON";"NON";NA;NA;NA;NA
2024-10-10;2025-03-05;"Petits carrés chocolat au lait et cœur caramel, Michel et Augustin";2,5;"Gourmandises";"Sucré";"NON";"NON";"Farine de blé 42,1%, sirop de sucre inverti 17,9%, beurre 15,4%, sucre roux de canne 11,9%, chocolat au lait 11,2%, sucre 4,5%, lait concentre sucre 2,9%, beurre de cacao 2,1%, huile de tournesol 2%, lait entier en poudre 0,9%, sel de guérande 0,5%, caramel ordinaire 0,3%, arôme naturelde vanille, emulsifiant, sel, arômes naturels, gelling agent : pectines, agent épaississant naturel";"lait, gluten, soja";"oeuf, fruits à coque";485;"NON";"NON";"NON";"NON";37,6;5,9;67;21
2024-03-07;2024-06-26;"Eau minérale naturelle gazeuse, Ô9 (33cl)";3,4;"Boissons fraîches";"Boissons";"NON";"NON";NA;NA;NA;NA;"OUI";"OUI";"NON";"OUI";50;NA;NA;NA
2024-03-07;2024-06-26;"Pur jus de pomme, C'est qui le patron ?";3,7;"Boissons fraîches";"Boissons";"NON";"NON";"Jus de pomme 100%";NA;NA;44;"OUI";"OUI";"NON";"OUI";33;0,5;10;0,5
2024-03-07;2024-06-26;"Pur jus d'orange, Cidou";3,8;"Boissons fraîches";"Boissons";"NON";"NON";"Orange 100 %";NA;NA;41;"OUI";"OUI";"NON";"OUI";33;0,1;9,4;0,5
2024-03-07;2024-06-26;"Fuze Tea Pêche Intense 33cl";3,4;"Boissons fraîches";"Boissons";"NON";"NON";"Infusion de thé noir 95 % (eau, infusion de thé noir concentrée), sucre, jus de pêche à base de concentré 0,1 %, acidifiants : acide citrique, citrate de sodium, acide malique, arômes naurels de pêche et  thé avec autres arômes naturels, antioxydant : acide ascorbique, edulcorant : glycosides de stéviol";NA;NA;19;"OUI";"OUI";"NON";"OUI";33;0;4,3;0
